PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Year,Month,Day,DayOfWeek,Quarter,Season_encoded,AQI_lag_1,AQI_lag_3,AQI_lag_7,PM2.5_lag_1,PM10_lag_1,NO2_lag_1,AQI_rolling_7d,AQI_rolling_14d,AQI_rolling_30d,AQI_rolling_7d_std,City_encoded
58.36,141.54,2.6,21.39,23.31,,2.6,32.66,53.54,2015,2,5,3,1,3,294.0,500.0,209.0,80.65,141.54,22.83,404.42857142857144,404.42857142857144,404.42857142857144,124.34073768326712,0
79.29,141.54,1.16,26.94,26.83,,1.16,44.1525,59.3,2015,2,6,4,1,3,149.0,500.0,328.0,58.36,141.54,21.39,395.85714285714283,372.5,372.5,141.00878054389446,0
88.7,141.54,7.29,31.32,37.73,,4.14,44.1525,44.76,2015,2,7,5,1,3,190.0,294.0,500.0,79.29,141.54,26.94,376.14285714285717,352.22222222222223,352.22222222222223,160.39163379202853,0
74.28,141.54,8.92,27.3,33.42,,4.14,44.1525,47.42,2015,2,8,6,1,3,247.0,149.0,500.0,88.7,141.54,31.32,340.0,341.7,341.7,156.2828632106967,0
113.93,141.54,4.32,24.27,26.86,,4.14,44.1525,39.94,2015,2,9,0,1,3,379.0,190.0,500.0,74.28,141.54,27.3,322.7142857142857,345.09090909090907,345.09090909090907,141.64240688639623,0
105.39,141.54,1.41,18.21,18.75,,1.41,35.91,56.15,2015,2,10,1,1,3,341.0,247.0,500.0,113.93,141.54,24.27,300.0,344.75,344.75,119.49058540320235,0
66.52,141.54,6.34,23.8,28.24,,4.14,44.1525,53.14,2015,2,11,2,1,3,256.0,379.0,294.0,105.39,141.54,18.21,265.14285714285717,337.9230769230769,337.9230769230769,80.72469380850063,0
65.04,141.54,14.19,30.1,44.21,,4.14,44.1525,31.88,2015,2,12,3,1,3,388.0,341.0,149.0,66.52,141.54,23.8,278.57142857142856,341.5,341.5,93.18236088956091,0
103.36,141.54,18.18,39.56,57.33,,4.14,44.1525,40.11,2015,2,13,4,1,3,288.0,256.0,190.0,65.04,141.54,30.1,298.42857142857144,347.14285714285717,337.93333333333334,73.75377310767931,0
177.33,141.54,37.49,47.58,77.85,,4.14,44.1525,36.47,2015,2,14,5,1,3,500.0,388.0,247.0,103.36,141.54,39.56,342.7142857142857,359.42857142857144,348.0625,89.24071246860794,0
113.25,141.54,15.55,30.5,44.87,,4.14,44.1525,33.78,2015,2,15,6,1,3,500.0,288.0,379.0,177.33,141.54,47.58,378.85714285714283,359.42857142857144,357.0,95.05862852546767,0
99.7,141.54,19.85,28.1,47.31,,4.14,44.1525,30.57,2015,2,16,0,1,3,475.0,500.0,341.0,113.25,141.54,30.5,392.57142857142856,357.64285714285717,363.55555555555554,101.77075077980761,0
80.61,141.54,15.96,21.04,35.67,,4.14,44.1525,36.2,2015,2,17,1,1,3,500.0,500.0,256.0,99.7,141.54,28.1,415.2857142857143,357.64285714285717,370.7368421052632,105.99797841738034,0
100.79,141.54,16.24,25.93,41.91,,4.14,43.11,37.43,2015,2,18,2,1,3,479.0,475.0,388.0,80.61,141.54,21.04,447.14285714285717,356.14285714285717,376.15,80.61932888877325,0
107.99,141.54,11.25,30.09,40.47,,4.14,44.1525,31.94,2015,2,19,3,1,3,500.0,500.0,288.0,100.79,141.54,25.93,463.14285714285717,370.85714285714283,382.04761904761904,77.99664217436666,0
140.29,141.54,33.84,36.14,68.85,,4.14,44.1525,40.98,2015,2,20,4,1,3,427.0,479.0,500.0,107.99,141.54,30.09,483.0,390.7142857142857,384.09090909090907,26.993826454703832,0
239.96,141.54,61.95,46.25,106.92,,4.14,44.1525,33.55,2015,2,21,5,1,3,500.0,500.0,500.0,140.29,141.54,36.14,483.0,412.85714285714283,389.1304347826087,26.993826454703832,0
142.96,141.54,45.45,48.21,92.32,,4.14,44.1525,34.77,2015,2,22,6,1,3,500.0,427.0,475.0,239.96,141.54,46.25,483.0,430.92857142857144,393.75,26.993826454703832,0
238.41,141.54,63.27,55.07,120.47,,4.14,44.1525,37.3,2015,2,23,0,1,3,500.0,500.0,500.0,142.96,141.54,48.21,486.57142857142856,439.57142857142856,398.0,27.409591647554993,0
118.72,141.54,12.56,32.01,42.56,,4.14,44.1525,38.8,2015,2,24,1,1,3,500.0,500.0,479.0,238.41,141.54,55.07,486.57142857142856,450.92857142857144,401.9230769230769,27.409591647554993,0
